ID Facetten;Descr Facetten;Descr StellenanzeigenDE;ID StellenanzeigenDE;;;
1;Agentur, Werbung, Marketing & PR;Marketing / Werbung / Design;8;;;
2;Aus- & Weiterbildung;Ausbildungsplätze ;30;;;
;;Praktika, Werkstudentenplätze ;31;;;
;;Diplomandenstellen ;32;;;
;;Weiterbildung / Studium / duale Ausbildung ;33;;;
3;Automobilindustrie & Zulieferer;Ingenieurberufe / Techniker;13;;;
;;Einkauf / Logistik / Materialwirtschaft;21;;;
4;Banken & Kreditwirtschaft;Banken / Versicherungen / Finanzdienstleister;12;;;
5;Baugewerbe & -industrie;Architektur / Bauwesen;14;;;
6;Beratung;Consulting / Beratung;11;;;
7;Beratung, Wirtschaftsprüfung & Recht;Rechtswesen;3;;;
8;Bildungsinstitutionen;Öffentlicher Dienst;34;;;
;;Weiterbildung / Studium / duale Ausbildung ;33;;;
;;Kaufmännische Berufe & Verwaltung;5;;;
;;Bildung / Erziehung / Soziale Berufe;17;;;
9;Biotechnik;Forschung und Wissenschaft;15;;;
10;Chemie- & Pharmaindustrie;Forschung und Wissenschaft;15;;;
11;Dienstleistungen;Kaufmännische Berufe & Verwaltung;5;;;
;;Consulting / Beratung;11;;;
;;Vertrieb / Verkauf;7;;;
12;Druck-, Papier & Verpackungsindustrie;Ingenieurberufe / Techniker;13;;;
13;Einzelhandel;Einkauf / Logistik / Materialwirtschaft;21;;;
14;Energie-, Wasserversorgung & Entsorgung;Ingenieurberufe / Techniker;13;;;
;;Einkauf / Logistik / Materialwirtschaft;21;;;
;;Kaufmännische Berufe & Verwaltung;5;;;
15;Feinmechanik & Optik;Ingenieurberufe / Techniker;13;;;
16;Finanzdienstleistungen;Banken / Versicherungen / Finanzdienstleister;12;;;
;;Finanzen / Controlling / Steuern;4;;;
17;Forschung & Wissenschaft;Forschung und Wissenschaft;15;;;
18;Gesundheit & soziale Dienste;Bildung / Erziehung / Soziale Berufe;17;;;
19;Großhandel;Einkauf / Logistik / Materialwirtschaft;21;;;
;;Vertrieb / Verkauf;7;;;
20;Handwerk;Handwerk / gewerblich-technische Berufe;19;;;
21;Hotel, Gastronomie & Catering;Gastronomie / Tourismus;18;;;
22;Immobilien;Kaufmännische Berufe & Verwaltung;5;;;
;;Architektur / Bauwesen;14;;;
23;Ingenieurwesen;Ingenieurberufe / Techniker;13;;;
24;IT & Internet;IT / TK / Software-Entwicklung;10;;;
25;Konsumgüter & Gebrauchsgüter;Einkauf / Logistik / Materialwirtschaft;21;;;
;;Vertrieb / Verkauf;7;;;
26;Kultur;PR / Journalismus / Medien / Kultur;9;;;
27;Land-, Forst-, Fischwirtschaft & Gartenbau;Handwerk / gewerblich-technische Berufe;19;;;
;;Forschung und Wissenschaft;15;;;
28;Logistik, Verkehrs- & Transportwesen;Berufskraftfahrer / Personenbeförderung (Land, Wasser, Luft);23;;;
;;Einkauf / Logistik / Materialwirtschaft;21;;;
29;Luft- & Raumfahrt;Forschung und Wissenschaft;15;;;
30;Maschinen- & Anlagenbau;Ingenieurberufe / Techniker;13;;;
31;Medien (Presse, Film, Funk, TV, Verlage);PR / Journalismus / Medien / Kultur;9;;;
32;Medizintechnik;Medizin, Gesundheit und Pflege;16;;;
33;Metallindustrie;Handwerk / gewerblich-technische Berufe;19;;;
;;Architektur / Bauwesen;14;;;
;;Ingenieurberufe / Techniker;13;;;
34;Nahrungs- & Genussmittel;Gastronomie / Tourismus;18;;;
35;Öffentlicher Dienst & Behörden;Öffentlicher Dienst;34;;;
36;Personaldienstleistung & -beratung;Personalwesen;2;;;
37;Telekommunikation;IT / TK / Software-Entwicklung;10;;;
38;Tourismus;Gastronomie / Tourismus;18;;;
39;Verbände & Institutionen;Öffentlicher Dienst;34;;;
;;Bildung / Erziehung / Soziale Berufe;17;;;
40;Versicherungen;Banken / Versicherungen / Finanzdienstleister;12;;;
41;Weitere Branchen (Default-Mapping);Sicherheitsdienste;24;;;
;;Freiberufler / Selbständigkeit / Franchise;25;;;
;;Vorstand / Geschäftsführung;1;;;
;;Assistenz / Sekretariat;6;;;